2026-07-16 22:51:04,842 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:51:04,870 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-6\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:51:04,870 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-6\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:53:49,293 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 22:53:49,308 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:53:49,341 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-7\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:53:49,342 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-7\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:55:58,959 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 22:55:58,963 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:55:58,977 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-8\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:55:58,978 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-8\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:56:37,485 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 22:56:37,494 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:56:37,518 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-9\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:56:37,519 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-9\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:58:53,376 | INFO | app | AI Multi-Agent Studio started
2026-07-16 23:00:34,246 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
2026-07-16 23:05:46,728 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
